Month,Holdings_Count,M_Universe_Size,Optimization_Type
Jul 2014,12,32,Greedy_Portfolio_Sharpe
Aug 2014,14,34,Greedy_Portfolio_Sharpe
Sep 2014,15,36,Greedy_Portfolio_Sharpe
Oct 2014,18,39,Greedy_Portfolio_Sharpe
Nov 2014,19,37,Greedy_Portfolio_Sharpe
Dec 2014,20,39,Greedy_Portfolio_Sharpe
Jan 2015,23,41,Greedy_Portfolio_Sharpe
Feb 2015,24,40,Greedy_Portfolio_Sharpe
Mar 2015,24,43,Greedy_Portfolio_Sharpe
Apr 2015,27,42,Greedy_Portfolio_Sharpe
May 2015,28,42,Greedy_Portfolio_Sharpe
Jun 2015,25,40,Greedy_Portfolio_Sharpe
Jul 2015,26,37,Greedy_Portfolio_Sharpe
Aug 2015,25,37,Greedy_Portfolio_Sharpe
Sep 2015,26,39,Greedy_Portfolio_Sharpe
Oct 2015,24,40,Greedy_Portfolio_Sharpe
Nov 2015,23,36,Greedy_Portfolio_Sharpe
Dec 2015,23,38,Greedy_Portfolio_Sharpe
Jan 2016,24,37,Greedy_Portfolio_Sharpe
Feb 2016,21,36,Greedy_Portfolio_Sharpe
Mar 2016,19,34,Greedy_Portfolio_Sharpe
Apr 2016,18,35,Greedy_Portfolio_Sharpe
May 2016,16,34,Greedy_Portfolio_Sharpe
Jun 2016,17,38,Greedy_Portfolio_Sharpe
Jul 2016,19,36,Greedy_Portfolio_Sharpe
Aug 2016,20,40,Greedy_Portfolio_Sharpe
Sep 2016,22,42,Greedy_Portfolio_Sharpe
Oct 2016,23,40,Greedy_Portfolio_Sharpe
Nov 2016,22,40,Greedy_Portfolio_Sharpe
Dec 2016,22,43,Greedy_Portfolio_Sharpe
Jan 2017,20,40,Greedy_Portfolio_Sharpe
Feb 2017,24,43,Greedy_Portfolio_Sharpe
Mar 2017,25,43,Greedy_Portfolio_Sharpe
Apr 2017,24,40,Greedy_Portfolio_Sharpe
May 2017,24,41,Greedy_Portfolio_Sharpe
Jun 2017,24,42,Greedy_Portfolio_Sharpe
Jul 2017,22,49,Greedy_Portfolio_Sharpe
Aug 2017,22,47,Greedy_Portfolio_Sharpe
Sep 2017,20,45,Greedy_Portfolio_Sharpe
Oct 2017,20,45,Greedy_Portfolio_Sharpe
Nov 2017,22,44,Greedy_Portfolio_Sharpe
Dec 2017,22,47,Greedy_Portfolio_Sharpe
Jan 2018,23,44,Greedy_Portfolio_Sharpe
Feb 2018,25,42,Greedy_Portfolio_Sharpe
Mar 2018,22,44,Greedy_Portfolio_Sharpe
Apr 2018,19,44,Greedy_Portfolio_Sharpe
May 2018,21,44,Greedy_Portfolio_Sharpe
Jun 2018,21,43,Greedy_Portfolio_Sharpe
Jul 2018,21,46,Greedy_Portfolio_Sharpe
Aug 2018,21,42,Greedy_Portfolio_Sharpe
Sep 2018,21,39,Greedy_Portfolio_Sharpe
Oct 2018,23,42,Greedy_Portfolio_Sharpe
Nov 2018,22,40,Greedy_Portfolio_Sharpe
Dec 2018,20,41,Greedy_Portfolio_Sharpe
Jan 2019,20,40,Greedy_Portfolio_Sharpe
Feb 2019,22,41,Greedy_Portfolio_Sharpe
Mar 2019,22,39,Greedy_Portfolio_Sharpe
Apr 2019,20,43,Greedy_Portfolio_Sharpe
May 2019,23,44,Greedy_Portfolio_Sharpe
Jun 2019,23,48,Greedy_Portfolio_Sharpe
Jul 2019,22,49,Greedy_Portfolio_Sharpe
Aug 2019,20,46,Greedy_Portfolio_Sharpe
Sep 2019,23,48,Greedy_Portfolio_Sharpe
Oct 2019,21,43,Greedy_Portfolio_Sharpe
Nov 2019,21,45,Greedy_Portfolio_Sharpe
Dec 2019,19,42,Greedy_Portfolio_Sharpe
Jan 2020,22,43,Greedy_Portfolio_Sharpe
Feb 2020,23,42,Greedy_Portfolio_Sharpe
Mar 2020,23,40,Greedy_Portfolio_Sharpe
Apr 2020,23,43,Greedy_Portfolio_Sharpe
May 2020,23,44,Greedy_Portfolio_Sharpe
Jun 2020,22,43,Greedy_Portfolio_Sharpe
Jul 2020,27,57,Greedy_Portfolio_Sharpe
Aug 2020,23,52,Greedy_Portfolio_Sharpe
Sep 2020,23,52,Greedy_Portfolio_Sharpe
Oct 2020,25,53,Greedy_Portfolio_Sharpe
Nov 2020,25,57,Greedy_Portfolio_Sharpe
Dec 2020,25,55,Greedy_Portfolio_Sharpe
Jan 2021,25,56,Greedy_Portfolio_Sharpe
Feb 2021,26,55,Greedy_Portfolio_Sharpe
Mar 2021,27,55,Greedy_Portfolio_Sharpe
Apr 2021,30,59,Greedy_Portfolio_Sharpe
May 2021,30,57,Greedy_Portfolio_Sharpe
Jun 2021,28,59,Greedy_Portfolio_Sharpe
Jul 2021,30,62,Greedy_Portfolio_Sharpe
Aug 2021,31,61,Greedy_Portfolio_Sharpe
Sep 2021,28,60,Greedy_Portfolio_Sharpe
Oct 2021,28,55,Greedy_Portfolio_Sharpe
Nov 2021,29,55,Greedy_Portfolio_Sharpe
Dec 2021,29,56,Greedy_Portfolio_Sharpe
Jan 2022,28,57,Greedy_Portfolio_Sharpe
Feb 2022,27,55,Greedy_Portfolio_Sharpe
Mar 2022,23,51,Greedy_Portfolio_Sharpe
Apr 2022,24,53,Greedy_Portfolio_Sharpe
May 2022,23,54,Greedy_Portfolio_Sharpe
Jun 2022,24,56,Greedy_Portfolio_Sharpe
Jul 2022,27,71,Greedy_Portfolio_Sharpe
Aug 2022,25,70,Greedy_Portfolio_Sharpe
Sep 2022,25,62,Greedy_Portfolio_Sharpe
Oct 2022,25,67,Greedy_Portfolio_Sharpe
Nov 2022,24,68,Greedy_Portfolio_Sharpe
Dec 2022,26,66,Greedy_Portfolio_Sharpe
Jan 2023,29,69,Greedy_Portfolio_Sharpe
Feb 2023,31,73,Greedy_Portfolio_Sharpe
Mar 2023,29,69,Greedy_Portfolio_Sharpe
Apr 2023,29,74,Greedy_Portfolio_Sharpe
May 2023,32,75,Greedy_Portfolio_Sharpe
Jun 2023,31,81,Greedy_Portfolio_Sharpe
Jul 2023,32,82,Greedy_Portfolio_Sharpe
Aug 2023,34,81,Greedy_Portfolio_Sharpe
Sep 2023,36,81,Greedy_Portfolio_Sharpe
Oct 2023,35,85,Greedy_Portfolio_Sharpe
Nov 2023,32,80,Greedy_Portfolio_Sharpe
Dec 2023,34,92,Greedy_Portfolio_Sharpe
Jan 2024,30,82,Greedy_Portfolio_Sharpe
Feb 2024,32,82,Greedy_Portfolio_Sharpe
Mar 2024,33,84,Greedy_Portfolio_Sharpe
Apr 2024,31,76,Greedy_Portfolio_Sharpe
May 2024,31,79,Greedy_Portfolio_Sharpe
Jun 2024,30,85,Greedy_Portfolio_Sharpe
Jul 2024,28,85,Greedy_Portfolio_Sharpe
Aug 2024,28,85,Greedy_Portfolio_Sharpe
Sep 2024,29,85,Greedy_Portfolio_Sharpe
Oct 2024,29,88,Greedy_Portfolio_Sharpe
Nov 2024,29,80,Greedy_Portfolio_Sharpe
Dec 2024,31,84,Greedy_Portfolio_Sharpe
Jan 2025,31,86,Greedy_Portfolio_Sharpe
Feb 2025,30,80,Greedy_Portfolio_Sharpe
Mar 2025,31,80,Greedy_Portfolio_Sharpe
Apr 2025,31,83,Greedy_Portfolio_Sharpe
May 2025,30,74,Greedy_Portfolio_Sharpe
Jun 2025,29,79,Greedy_Portfolio_Sharpe
Jul 2025,29,71,Greedy_Portfolio_Sharpe
Aug 2025,25,67,Greedy_Portfolio_Sharpe
Sep 2025,24,62,Greedy_Portfolio_Sharpe
Oct 2025,23,64,Greedy_Portfolio_Sharpe
Nov 2025,24,64,Greedy_Portfolio_Sharpe
Dec 2025,26,61,Greedy_Portfolio_Sharpe
Jan 2026,25,66,Greedy_Portfolio_Sharpe
Feb 2026,27,65,Greedy_Portfolio_Sharpe
Mar 2026,28,61,Greedy_Portfolio_Sharpe
Apr 2026,26,63,Greedy_Portfolio_Sharpe
