Ticker,Quantity,Avg_Price,Invested,Current_Price,Current_Amount
HAVELLS.NS,3.72772,236.93,883.21,1574.2,5868.18
AJANTPHARM.NS,0.90217,554.22,500.0,2452.0,2212.12
KAJARIACER.NS,3.382066,340.82,1152.66,1225.8,4145.74
TCS.NS,0.15034,1108.6,166.67,3112.6,467.95
HINDZINC.NS,18.87419,134.83,2544.73,435.9,8227.26
TITAN.NS,0.324897,323.51,105.11,3618.6,1175.67
WIPRO.NS,1.387755,106.04,147.16,250.36,347.44
AVANTIFEED.NS,1.660683,270.23,448.77,632.3,1050.05
BERGEPAINT.NS,0.217156,207.17,44.99,547.0,118.78
BALKRISIND.NS,0.014659,504.79,7.4,2323.0,34.05
IGL.NS,0.99791,284.45,283.86,210.93,210.49
BRITANNIA.NS,0.240612,2759.98,664.08,5846.5,1406.74
SONATSOFTW.NS,26.02729,222.05,5779.29,354.0,9213.66
MANAPPURAM.NS,7.399737,144.51,1069.36,275.0,2034.93
KEI.NS,10.798231,1305.2,14093.81,3920.3,42332.31
HINDUNILVR.NS,0.120914,1678.97,203.01,2649.5,320.36
ALKYLAMINE.NS,2.765221,1835.39,5075.27,2035.8,5629.44
CHAMBLFERT.NS,24.906928,272.43,6785.3,544.85,13570.54
KNRCON.NS,1.324758,196.61,260.45,193.77,256.7
NMDC.NS,21.57467,200.88,4333.98,69.62,1502.03
FACT.NS,31.407576,395.85,12432.77,952.25,29907.86
KPRMILL.NS,1.647915,489.47,806.61,985.0,1623.2
ACE.NS,6.53555,293.3,1916.87,1071.5,7002.84
PERSISTENT.NS,1.265926,2509.17,3176.42,5420.0,6861.32
HGINFRA.NS,4.946611,862.12,4264.59,992.05,4907.29
JBCHEPHARM.NS,0.511544,1022.21,522.91,1725.5,882.67
LTIM.NS,0.117757,4440.55,522.91,5197.0,611.98
PNCINFRA.NS,11.697439,415.53,4860.6,303.1,3545.49
BEL.NS,35.930603,149.55,5373.4,373.9,13434.45
REDINGTON.NS,12.842458,172.63,2217.06,243.89,3132.15
HAL.NS,3.621259,3624.14,13123.96,4429.6,16040.73
SUPREMEIND.NS,0.659638,4449.85,2935.29,4574.8,3017.71
MSTCLTD.NS,7.125786,861.24,6137.04,458.75,3268.95
SARDAEN.NS,14.373934,494.92,7113.89,601.2,8641.61
POLYCAB.NS,0.429709,6705.08,2881.23,7144.5,3070.06
PCBL.NS,6.028448,385.12,2321.65,374.85,2259.76
TVSMOTOR.NS,0.294662,2858.2,842.2,3356.2,988.95
WELENT.NS,0.340065,418.85,142.44,470.0,159.83
FIEMIND.NS,2.617895,1751.49,4585.21,2192.4,5739.47
GABRIEL.NS,3.627248,580.33,2104.99,1226.45,4448.64
CHOLAFIN.NS,2.43089,1460.34,3549.93,1453.8,3534.03
TI.NS,14.113587,293.46,4141.77,480.75,6785.11
M&M.NS,0.280186,2928.8,820.61,3315.4,928.93
WELCORP.NS,0.566453,911.65,516.41,848.45,480.61
ECLERX.NS,0.321326,4496.8,1444.94,4496.8,1444.94
NATIONALUM.NS,7.533963,191.79,1444.94,191.79,1444.94
JINDALSTEL.NS,1.500689,962.85,1444.94,962.85,1444.94
