Month,Allowed_Limit,Possible_Liquidation,Excess
Jun 2015,1168.24,1190.44,22.21
May 2016,1401.76,1664.87,263.11
Oct 2016,2114.79,2135.27,20.47
Nov 2016,2029.64,13814.4,11784.76
May 2017,2528.89,3295.69,766.8
Jul 2017,2970.96,3931.98,961.02
Nov 2017,3758.41,18916.38,15157.97
Apr 2018,3845.6,10486.09,6640.49
Jun 2018,3255.87,6204.43,2948.56
Jul 2018,3412.26,10825.73,7413.47
Nov 2018,3200.52,6259.63,3059.11
Apr 2019,3434.66,3572.85,138.19
Jul 2019,3134.53,5739.36,2604.83
Dec 2019,3648.93,7982.91,4333.98
Jul 2020,3565.85,8385.8,4819.95
Jul 2021,7694.83,9636.46,1941.63
Oct 2021,8072.66,24365.28,16292.62
Jan 2022,9380.2,17970.01,8589.81
Jul 2022,8477.47,10802.67,2325.2
Sep 2022,8002.33,34732.13,26729.8
May 2023,8924.35,13510.88,4586.53
Jun 2023,9323.88,11981.4,2657.52
Sep 2023,11068.7,34936.18,23867.48
Oct 2023,11100.67,11583.43,482.76
Nov 2023,12367.54,20750.96,8383.42
Dec 2023,13618.28,21188.27,7569.99
May 2024,15664.94,26065.1,10400.16
Sep 2024,20709.57,24727.85,4018.28
Feb 2025,13214.55,35437.67,22223.12
Mar 2025,14002.32,42484.86,28482.53
May 2025,18137.03,23305.77,5168.74
Jul 2025,17806.74,40960.72,23153.99
